"","B cell","blood","endo1","endo2","endo3","fib1","fib2","fib3","mac1","mac2","mac3","mac4","mural/peri","nphil","T/NK cell"
"PINK1",0.0197817189631651,0.114622778910574,0.292643229166667,0.243243243243243,0.223214285714286,0.339306268470991,0.556381118881119,0.425279040926002,0.204957822696164,0.15561470071918,0.11378571955992,0.0847214759090095,0.231614135625597,0.0217391304347826,0.0355450236966825
"DDOST",0.215552523874488,0.299300903000291,0.41796875,0.63963963963964,0.205357142857143,1.06103593093794,1.19034090909091,0.676312525837123,0.402435142447875,0.437567246163429,0.441925718083143,0.292136843990686,0.255014326647564,0.00781370880396101,0.255222046691241
"EIF4G3",1.18008185538881,0.437372560442761,2.88324652777778,3.46846846846847,1.6875,3.49348265671177,3.20891608391608,1.87412153782555,7.22294286169028,4.09298374766408,2.84575057225135,3.08731864588931,0.8018147086915,0.612563824849141,0.864490082499561
"RAP1GAP",0.000682128240109141,0.00218467812408972,0.00792100694444444,0,0,0.0197542386063151,0.0115821678321678,0.00434063662670525,0.00752029285373229,0.00305793080015856,0.00184597208890202,0.00322407307898979,0.00143266475644699,0.000773634535045644,0.00289626119010005
"HSPG2",0.0102319236016371,0.618846489950481,5.59364149305556,2.06756756756757,2.84821428571429,1.75156322911806,1.04381555944056,1.88052914427449,0.0399888588254019,0.0397531004020613,0.0378793472642694,0.0185384202041913,0.739732569245463,0.0045644437567693,0.0133403545725821
"WNT4",0.00545702592087312,0.00218467812408972,0.0119357638888889,0.0900900900900901,0,0.00591071706330689,0.00677447552447552,0.0333815626291856,0.00381983129078466,0.00243501897049663,0.00361810529424795,0.00528389754612216,0.000477554918815664,0.000618907628036516,0.00570475688959101
"C1QA",0.0832196452933151,0.644625691814739,0.0694444444444444,0.0540540540540541,0.00892857142857143,0.105055218540986,0.112762237762238,0.0445431996692848,21.8513846888429,11.1523868848746,1.56375987595068,0.190757657173563,0.0214899713467049,0.030558564134303,0.0538880112339828
"C1QC",0.0334242837653479,0.289105738421206,0.0315755208333333,0.027027027027027,0,0.0448281225696065,0.0469842657342657,0.0212897891690781,11.5700302403311,6.10612152443513,0.745994240567083,0.0497044599677593,0.00764087870105062,0.0185672288410955,0.0172020361593821
"C1QB",0.0852660300136426,0.520099038741625,0.0582682291666667,0.0540540540540541,0,0.0914916783325556,0.0923295454545455,0.0351384869780901,18.9373706827948,10.4939690809219,1.26375249206232,0.121798316317392,0.0133715377268386,0.0281602970756615,0.0461646480603827
"EPHB2",0.00136425648021828,0.0450043693562482,0.0108506944444444,0.315315315315315,0,0.348638979623581,0.0843531468531468,0.170938404299297,0.659318796753143,0.372614530834136,0.220999778483349,0.142844348916353,0.00191021967526266,0.00232090360513693,0.00219413726522731
"KDM1A",0.131650750341064,0.107340518496941,0.363389756944444,0.531531531531532,0.151785714285714,0.58444548141235,0.50229458041958,0.363269946258785,0.266154703167277,0.248315306642505,0.286864062615373,0.211087229088304,0.167144221585482,0.00324926504719171,0.161049675267685
"ID3",0.239427012278308,1.13705214098456,2.873046875,1.3018018018018,2.25,6.22690931715663,2.89128059440559,2.0936337329475,0.545479866305905,0.341921966136248,0.707081148933028,0.1876231416801,2.76122254059217,0.0140027850843262,0.121555204493593
"FUCA1",0.0375170532060027,0.0626274395572386,0.07421875,0.13963963963964,0.0267857142857143,0.198506766215586,0.352928321678322,0.169491525423729,0.990689161228712,0.507389999433717,0.256294764823156,0.23195414651621,0.0620821394460363,0.00379080922172366,0.0449359311918554
"CNR2",0.216916780354707,0.00160209729099913,0.000542534722222222,0,0,0.00167988800746617,0.00207604895104895,0.000413393964448119,0.00469520929492281,0.00441701115578459,0.0226685372517168,0.0221207236252911,0.000477554918815664,0.000464180721027387,0.0141302439880639
"SRSF10",0.772851296043656,0.304544130498107,1.1357421875,1.50900900900901,0.589285714285714,1.4726707108415,1.74082167832168,1.05198429102935,0.786964825720197,0.67676538875361,0.89751162962416,0.69765359125918,0.683381088825215,0.0273866625406158,0.759083728278041
"CLIC4",0.687585266030014,0.693853772210894,2.81184895833333,0.891891891891892,2.5625,4.93781303468658,5.50491695804196,2.24410913600661,2.31151519974534,1.73899994337165,0.976593073912722,0.65547196847573,1.94937917860554,0.0451028933931611,0.0869756011936107
"RUNX3",0.46043656207367,0.048791144771337,0.00520833333333333,0,0,0.00755949603359776,0.00895979020979021,0.0027904092600248,0.269934744548782,0.222662664930064,0.639075537177878,0.672129679383844,0.0119388729703916,0.00858734333900665,1.2587326663156
"SYF2",0.637789904502046,0.351878823186717,1.12120225694444,1.22972972972973,0.473214285714286,1.29015398973402,1.2815777972028,0.907296403472509,1.20873786407767,0.970609887309587,1.02813261463487,0.894322049077557,0.8414517669532,0.122311619990716,0.521414779708619
"LDLRAP1",0.0150068212824011,0.0298572676958928,0.0570746527777778,0.0810810810810811,0.0446428571428571,0.0967491056151812,0.172093531468531,0.0738941711451013,0.046633773674996,0.0429809162466731,0.0392822860518349,0.0370768404083826,0.0386819484240688,0.000464180721027387,0.0982095839915745
"MAN1C1",0.00886766712141883,0.0662685697640548,0.218858506944444,0.432432432432432,0.151785714285714,0.412910250427749,0.252076048951049,0.43633732947499,0.341477001432437,0.154991788889518,0.105441925718083,0.106931757119828,0.0573065902578797,0.0021661766981278,0.722222222222222
"STMN1",0.360163710777626,0.118846489950481,0.490451388888889,3.49099099099099,0.169642857142857,0.117063306890652,0.0873033216783217,0.0686233980983878,0.294803437848162,0.261679596806161,0.189839769622683,0.0280315242701057,0.149474689589303,0.00232090360513693,0.376426189222398
"SH3BGRL3",1.92360163710778,2.84051849694145,2.56163194444444,4.63963963963964,0.5,3.92782703375331,11.6424825174825,5.19253823894171,7.37040426547827,14.2629820488136,15.2142066011962,12.8268851871754,0.469436485195798,0.609082469441436,2.89468141126909
"CD52",3.3656207366985,0.223711039906787,0.0392795138888889,0,0.0178571428571429,0.00696842432726707,0.00808566433566434,0.00537412153782555,0.161188922489257,0.926043377314684,1.45794875581481,2.55077915099409,0.00286532951289398,0.0137706947238125,2.79928032297701
"HMGN2",0.969986357435198,0.677250218467812,0.971462673611111,2.06306306306306,0.5,2.22550941048375,2.28398164335664,1.43427035965275,1.33578704440554,1.29463729543009,1.64978217529351,1.35626007522837,1.57593123209169,0.117592449326938,0.778830963665087
"ARID1A",0.414051841746248,0.127585202446839,0.624674479166667,0.666666666666667,0.758928571428571,0.669497589049619,0.645869755244755,0.487391484084332,0.973579500238739,0.815787983464522,0.796500036919442,0.73016299480566,0.427889207258835,0.0775955438650781,0.503071792171318
"SFN",0,0.00203903291581707,0.00108506944444444,0.0135135135135135,0,0.00423082905584072,0.00699300699300699,0.00454733360892931,0.00063663854846411,0.000396398437057591,0.000369194417780403,0.000537345513164965,0.000955109837631328,0.00224354015163237,0.000877654906090925
"NUDC",0.356070941336971,0.29041654529566,0.6416015625,1.12612612612613,0.357142857142857,1.08446103593094,1.3482298951049,0.758371227780074,0.579659398376572,0.55977122147347,0.526102045337074,0.377933010926025,0.671919770773639,0.0157821445149311,0.304195190451115
"WDTC1",0.137107776261937,0.0476259831051558,0.139756944444444,0.247747747747748,0.0803571428571429,0.191849432260072,0.19569493006993,0.187784208350558,0.244230463154544,0.182852936179852,0.168278815624308,0.143829482357156,0.105062082139446,0.0324152870184125,0.130243988063893
"WASF2",0.607776261937244,0.425138362947859,1.56434461805556,2.5045045045045,1.21428571428571,1.66660444859232,1.92362325174825,1.75434063662671,1.76722903071781,1.54595390452461,1.55504688769106,1.54110693175712,0.935530085959885,0.119603899118057,0.574074074074074
"FGR",0.0579809004092769,0.0195164579085348,0.0754123263888889,0.036036036036036,0,0.00917716596671333,0.0201048951048951,0.00816453079785035,0.573133853254815,1.02021632028994,1.03795318614783,1.86835034927458,0.00477554918815664,0.229537366548043,0.0395822362647007
